gene_primary_id	F_Brain	F_Ovary	M_Brain	M_Head
FBgn0031081	67.0	0.0	64.0	21.0
FBgn0052826	0.0	0.0	0.0	0.0
FBgn0031085	0.0	0.0	0.0	0.0
FBgn0062565	0.0	0.0	0.0	0.0
FBgn0031088	0.0	0.0	0.0	0.0
FBgn0041626	0.0	0.0	0.0	0.0
FBgn0040784	0.0	0.0	0.0	0.0
FBgn0031086	0.0	0.0	0.0	0.0
FBgn0031082	0.0	0.0	0.0	0.0
FBgn0031080	1.0	1.0	1.0	26.0
FBgn0052821	0.0	0.0	0.0	3.0
FBgn0053217	41.0	72.0	38.0	14.0
FBgn0052350	39.0	74.0	41.0	17.0
FBgn0024733	899.0	4836.0	747.0	1522.0
FBgn0040372	18.0	102.0	18.0	9.0
FBgn0000316	30.0	84.0	25.0	18.0
FBgn0024989	1.0	0.0	0.0	1.0
FBgn0040371	1.0	0.0	1.0	1.0
FBgn0029521	0.0	0.0	0.0	1.0
FBgn0004034	1.0	0.0	0.0	0.0
FBgn0000022	0.0	0.0	0.0	0.0
FBgn0004170	0.0	0.0	0.0	0.0
FBgn0002561	0.0	0.0	0.0	0.0
FBgn0000137	0.0	0.0	0.0	0.0
FBgn0029522	2.0	125.0	2.0	4.0
FBgn0052817	5.0	4.0	4.0	7.0
FBgn0029524	15.0	5.0	15.0	16.0
FBgn0023536	10.0	18.0	10.0	5.0
FBgn0023534	89.0	0.0	74.0	24.0
FBgn0023535	2.0	0.0	1.0	1.0
FBgn0023537	111.0	80.0	88.0	76.0
FBgn0029525	6.0	43.0	7.0	5.0
FBgn0029523	9.0	2.0	9.0	4.0
FBgn0010019	3.0	23.0	22.0	5.0
FBgn0011822	0.0	1.0	0.0	0.0
FBgn0052816	0.0	7.0	0.0	2.0
FBgn0040370	56.0	2.0	58.0	16.0
FBgn0040373	0.0	25.0	0.0	2.0
FBgn0000108	164.0	1.0	177.0	131.0
FBgn0025640	16.0	25.0	15.0	12.0
FBgn0025635	10.0	47.0	9.0	6.0
FBgn0001341	4.0	43.0	5.0	3.0
FBgn0003575	18.0	22.0	17.0	9.0
FBgn0025634	11.0	22.0	11.0	7.0
FBgn0025638	58.0	261.0	61.0	99.0
FBgn0040383	22.0	9.0	18.0	29.0
FBgn0040382	85.0	18.0	84.0	143.0
FBgn0027343	1.0	10.0	1.0	3.0
FBgn0025621	12.0	23.0	12.0	10.0
FBgn0029535	0.0	0.0	0.0	0.0
FBgn0026874	0.0	0.0	0.0	0.0
FBgn0025616	0.0	0.0	0.0	0.0
FBgn0015799	12.0	63.0	12.0	7.0
FBgn0025620	17.0	0.0	4.0	21.0
FBgn0015288	477.0	1200.0	386.0	529.0
FBgn0029532	0.0	0.0	0.0	0.0
FBgn0029531	0.0	0.0	0.0	0.0
FBgn0025639	24.0	68.0	24.0	15.0
FBgn0002579	1316.0	6119.0	1204.0	2784.0
FBgn0026879	94.0	560.0	71.0	214.0
FBgn0029529	64.0	41.0	47.0	45.0
FBgn0025633	12.0	89.0	13.0	12.0
FBgn0040892	0.0	0.0	0.0	0.0
FBgn0040341	0.0	0.0	0.0	0.0
FBgn0029539	0.0	0.0	0.0	0.0
FBgn0040339	29.0	87.0	27.0	24.0
FBgn0052815	38.0	0.0	39.0	11.0
FBgn0040340	16.0	33.0	14.0	18.0
FBgn0040347	3.0	46.0	4.0	2.0
FBgn0042146	0.0	1.0	0.0	0.0
FBgn0029552	0.0	0.0	0.0	0.0
